,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,mean_fit_time,rank_test_score
210,10,sqrt,4,10,10,1.0,0.09379162788391113,1
211,10,sqrt,4,10,25,1.0,0.28343839645385743,1
212,10,sqrt,4,10,50,1.0,0.6544010162353515,1
213,10,sqrt,4,10,100,1.0,1.2259952545166015,1
214,10,sqrt,4,10,150,1.0,1.6835457801818847,1
215,10,sqrt,4,10,200,1.0,2.5566310405731203,1
216,10,log2,1,2,10,1.0,0.16856093406677247,1
217,10,log2,1,2,25,1.0,0.4333122730255127,1
218,10,log2,1,2,50,1.0,0.8028419017791748,1
219,10,log2,1,2,100,1.0,1.4663108825683593,1
220,10,log2,1,2,150,1.0,2.14454665184021,1
221,10,log2,1,2,200,1.0,2.750969123840332,1
222,10,log2,1,5,10,1.0,0.12797775268554687,1
223,10,log2,1,5,25,1.0,0.3131500244140625,1
224,10,log2,1,5,50,1.0,0.8109937191009522,1
225,10,log2,1,5,100,1.0,1.5603424072265626,1
226,10,log2,1,5,150,1.0,2.1469489097595216,1
227,10,log2,1,5,200,1.0,2.971144104003906,1
228,10,log2,1,10,10,1.0,0.23449769020080566,1
229,10,log2,1,10,25,1.0,0.47567100524902345,1
230,10,log2,1,10,50,1.0,0.7321464538574218,1
231,10,log2,1,10,100,1.0,1.7818616867065429,1
232,10,log2,1,10,150,1.0,4.866456365585327,1
233,10,log2,1,10,200,1.0,4.2204797744750975,1
234,10,log2,2,2,10,1.0,0.46561288833618164,1
235,10,log2,2,2,25,1.0,0.5199324131011963,1
236,10,log2,2,2,50,1.0,1.107565975189209,1
237,10,log2,2,2,100,1.0,2.9799930095672607,1
238,10,log2,2,2,150,1.0,3.6476840496063234,1
239,10,log2,2,2,200,1.0,3.6306200981140138,1
240,10,log2,2,5,10,1.0,0.1282106399536133,1
241,10,log2,2,5,25,1.0,0.6860912799835205,1
242,10,log2,2,5,50,1.0,0.7214284896850586,1
243,10,log2,2,5,100,1.0,1.590864610671997,1
244,10,log2,2,5,150,1.0,2.129519462585449,1
245,10,log2,2,5,200,1.0,2.260072135925293,1
246,10,log2,2,10,10,1.0,0.11158199310302734,1
247,10,log2,2,10,25,1.0,0.35615100860595705,1
248,10,log2,2,10,50,1.0,0.6475203514099122,1
249,10,log2,2,10,100,1.0,1.1400773048400878,1
250,10,log2,2,10,150,1.0,1.5868036270141601,1
251,10,log2,2,10,200,1.0,2.301341199874878,1
252,10,log2,4,2,10,1.0,0.10593032836914062,1
253,10,log2,4,2,25,1.0,0.2910778045654297,1
254,10,log2,4,2,50,1.0,0.647173261642456,1
255,10,log2,4,2,100,1.0,1.0511980533599854,1
256,10,log2,4,2,150,1.0,1.678584623336792,1
257,10,log2,4,2,200,1.0,2.2500709533691405,1
258,10,log2,4,5,10,0.9989227216201811,0.16318421363830565,485
259,10,log2,4,5,25,1.0,0.3456707000732422,1
260,10,log2,4,5,50,1.0,0.6984186172485352,1
261,10,log2,4,5,100,1.0,1.2772422790527345,1
262,10,log2,4,5,150,1.0,2.192631483078003,1
263,10,log2,4,5,200,1.0,2.5126723289489745,1
264,10,log2,4,10,10,1.0,0.13636040687561035,1
265,10,log2,4,10,25,1.0,0.26529760360717775,1
266,10,log2,4,10,50,1.0,0.5106176376342774,1
267,10,log2,4,10,100,1.0,1.0666096687316895,1
268,10,log2,4,10,150,1.0,1.6113560676574707,1
269,10,log2,4,10,200,1.0,2.022442102432251,1
270,10,,1,2,10,1.0,0.21854839324951172,1
271,10,,1,2,25,1.0,0.5897549152374267,1
272,10,,1,2,50,1.0,1.0527421474456786,1
273,10,,1,2,100,1.0,2.2330821990966796,1
274,10,,1,2,150,1.0,3.211091089248657,1
275,10,,1,2,200,1.0,4.440191984176636,1
276,10,,1,5,10,1.0,0.19469733238220216,1
277,10,,1,5,25,1.0,0.5866032123565674,1
278,10,,1,5,50,1.0,1.2283027648925782,1
279,10,,1,5,100,1.0,2.5789823055267336,1
280,10,,1,5,150,1.0,3.408427906036377,1
281,10,,1,5,200,1.0,4.364038467407227,1
282,10,,1,10,10,0.9995381062355658,0.24632010459899903,468
283,10,,1,10,25,0.9998461538461537,0.6544620990753174,456
284,10,,1,10,50,1.0,1.063726282119751,1
285,10,,1,10,100,1.0,2.0453866004943846,1
286,10,,1,10,150,1.0,3.0983509540557863,1
287,10,,1,10,200,1.0,4.146456527709961,1
288,10,,2,2,10,1.0,0.23030848503112794,1
289,10,,2,2,25,1.0,0.5441417694091797,1
290,10,,2,2,50,1.0,1.2027993679046631,1
291,10,,2,2,100,1.0,2.323334264755249,1
292,10,,2,2,150,1.0,3.425236940383911,1
293,10,,2,2,200,1.0,4.921377420425415,1
294,10,,2,5,10,0.9998461538461537,0.23796072006225585,456
295,10,,2,5,25,1.0,0.5385573863983154,1
296,10,,2,5,50,1.0,1.2566975116729737,1
297,10,,2,5,100,1.0,2.504465103149414,1
298,10,,2,5,150,1.0,5.007200908660889,1
299,10,,2,5,200,1.0,5.930779457092285,1
300,10,,2,10,10,1.0,0.2583782196044922,1
301,10,,2,10,25,1.0,0.6330419063568116,1
302,10,,2,10,50,1.0,1.109660768508911,1
