,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,mean_test_score,mean_fit_time,rank_test_score
110,gini,20,,1,10,0.9998461538461537,0.01797490119934082,76
111,gini,20,,2,2,1.0,0.017917299270629884,1
112,gini,20,,2,5,1.0,0.018610477447509766,1
113,gini,20,,2,10,0.9995384615384616,0.05056753158569336,108
114,gini,20,,5,2,0.9989230769230769,0.017658710479736328,143
115,gini,20,,5,5,0.9989230769230769,0.025796890258789062,143
116,gini,20,,5,10,0.9989230769230769,0.01880965232849121,143
117,gini,20,sqrt,1,2,0.9998460354118552,0.013244342803955079,96
118,gini,20,sqrt,1,5,1.0,0.009348201751708984,1
119,gini,20,sqrt,1,10,0.9996923076923077,0.010661602020263672,102
120,gini,20,sqrt,2,2,0.9995381062355658,0.013821649551391601,114
121,gini,20,sqrt,2,5,0.9989230769230769,0.01268305778503418,143
122,gini,20,sqrt,2,10,0.9998461538461537,0.013117551803588867,76
123,gini,20,sqrt,5,2,0.9981533724166519,0.015967750549316408,184
124,gini,20,sqrt,5,5,0.9970760940368331,0.01678919792175293,198
125,gini,20,sqrt,5,10,0.9981530171137563,0.020133352279663085,186
126,gini,20,log2,1,2,0.9998460354118552,0.01627631187438965,96
127,gini,20,log2,1,5,0.9998461538461537,0.021081018447875976,76
128,gini,20,log2,1,10,0.9992307692307693,0.018043375015258788,121
129,gini,20,log2,2,2,1.0,0.00868382453918457,1
130,gini,20,log2,2,5,0.9998461538461537,0.011442947387695312,76
131,gini,20,log2,2,10,1.0,0.008396053314208984,1
132,gini,20,log2,5,2,0.9992307692307693,0.009329271316528321,121
133,gini,20,log2,5,5,0.9993846153846153,0.008633661270141601,117
134,gini,20,log2,5,10,0.998,0.010741376876831054,187
135,entropy,,,1,2,1.0,0.01567521095275879,1
136,entropy,,,1,5,1.0,0.015242290496826173,1
137,entropy,,,1,10,1.0,0.014445257186889649,1
138,entropy,,,2,2,1.0,0.034741544723510744,1
139,entropy,,,2,5,1.0,0.01677813529968262,1
140,entropy,,,2,10,1.0,0.018297386169433594,1
