,param_C,param_max_iter,param_penalty,param_solver,mean_test_score,mean_fit_time,rank_test_score
135,0.1,400,l2,newton-cg,0.9401442529756618,0.15277485847473143,176
136,0.1,400,elasticnet,liblinear,,0.005788087844848633,226
137,0.1,400,elasticnet,saga,,0.0055538654327392575,226
138,0.1,400,elasticnet,lbfgs,,0.006367540359497071,226
139,0.1,400,elasticnet,newton-cg,,0.006902027130126953,226
140,0.1,400,,liblinear,,0.008095455169677735,226
141,0.1,400,,saga,0.9581465032273346,5.007708406448364,106
142,0.1,400,,lbfgs,0.9610706460590988,0.9453996181488037,11
143,0.1,400,,newton-cg,0.9606091075975602,0.4069568634033203,38
144,0.1,500,l1,liblinear,0.9472217682240777,1.0075925827026366,170
145,0.1,500,l1,saga,0.9490682773731273,4.776771163940429,166
146,0.1,500,l1,lbfgs,,0.015117835998535157,226
147,0.1,500,l1,newton-cg,,0.008072805404663087,226
148,0.1,500,l2,liblinear,0.9370665008586487,0.18733739852905273,191
149,0.1,500,l2,saga,0.9399904068218156,4.731620597839355,185
150,0.1,500,l2,lbfgs,0.9401442529756618,0.26106748580932615,176
151,0.1,500,l2,newton-cg,0.9401442529756618,0.11433806419372558,176
152,0.1,500,elasticnet,liblinear,,0.0036688804626464843,226
153,0.1,500,elasticnet,saga,,0.005333375930786133,226
154,0.1,500,elasticnet,lbfgs,,0.003697061538696289,226
155,0.1,500,elasticnet,newton-cg,,0.004024362564086914,226
156,0.1,500,,liblinear,,0.004257822036743164,226
157,0.1,500,,saga,0.9590696985847101,4.155472230911255,90
158,0.1,500,,lbfgs,0.9610706460590988,0.39603052139282224,11
159,0.1,500,,newton-cg,0.9606091075975602,0.19945249557495118,38
160,1.0,100,l1,liblinear,0.9584540771007284,6.526129865646363,100
161,1.0,100,l1,saga,0.9536834251199148,1.1961732864379884,154
162,1.0,100,l1,lbfgs,,0.003901243209838867,226
163,1.0,100,l1,newton-cg,,0.0039676189422607425,226
164,1.0,100,l2,liblinear,0.9529144312192811,0.1976163864135742,159
165,1.0,100,l2,saga,0.9518373897080593,0.9036230564117431,165
166,1.0,100,l2,lbfgs,0.954145555752946,0.31996870040893555,145
167,1.0,100,l2,newton-cg,0.9544533664949368,0.23457636833190917,136
168,1.0,100,elasticnet,liblinear,,0.006023216247558594,226
169,1.0,100,elasticnet,saga,,0.0047093391418457035,226
170,1.0,100,elasticnet,lbfgs,,0.014638853073120118,226
171,1.0,100,elasticnet,newton-cg,,0.006352710723876953,226
172,1.0,100,,liblinear,,0.007484006881713867,226
173,1.0,100,,saga,0.9541450820157518,0.8186353206634521,146
174,1.0,100,,lbfgs,0.9616857938058863,0.27490720748901365,1
175,1.0,100,,newton-cg,0.9606091075975602,0.3364890098571777,38
176,1.0,200,l1,liblinear,0.958454195535027,6.48055591583252,98
177,1.0,200,l1,saga,0.9562998756439864,2.516249418258667,135
178,1.0,200,l1,lbfgs,,0.006555986404418945,226
179,1.0,200,l1,newton-cg,,0.006055068969726562,226
180,1.0,200,l2,liblinear,0.9529144312192811,0.2450092315673828,159
181,1.0,200,l2,saga,0.9526066204772903,2.250051164627075,164
182,1.0,200,l2,lbfgs,0.9533763249837153,0.5466660022735595,156
183,1.0,200,l2,newton-cg,0.9544533664949368,0.25050835609436034,136
